text,department,urgency
Temporary admin rights for approved research tool. Need same-day install of a vendor SDK. Approval attached; please assign JIT elevation.,IT Support,Low
"Wi‑Fi drops in auditorium during live guest lecture. Signal reads strong, yet connection resets intermittently. Audience can’t view shared content when it drops. Please stabilize access points—currently disruptive. Live session in progress.",IT Support,High
"Can’t see course Teams channel after being added. Roster shows me enrolled, but the channel is missing. Signed out/in and cleared cache. Peers see it fine. I need this for group assignment planning. Please check policy sync and group membership. Would appreciate a quick fix. Thanks!",IT Support,Medium
Legacy web app only works in IE mode. Buttons don’t render in Chrome. Edge IE mode works but prompts repeatedly. Can you confirm recommended settings? We’ll document for the department.,IT Support,Low
"Ransomware alert on shared research drive. Endpoint security flagged mass renames. The suspected workstation was isolated. Request incident response engagement and scoping. Validate signatures and protect affected shares. Backups confirmed last week—need restore readiness. Status updates every 30 minutes, please. High impact to research continuity.",IT Support,High
External monitor flickers at 60 Hz in lab. Noticeable flicker causing eye strain. Any driver or refresh rate fix?,IT Support,Medium
Access to campus research SSID requested. Approved for a research group. MAC address available if needed. Please grant access to run measurements. Thank you!,IT Support,Low
Build server offline – CI failing for capstone teams. All builds queued with no agents available. Portal times out after restart. Blocks deployment to staging. Urgent attention requested.,IT Support,High
Send-as permission for departmental mailbox. Our staff needs send-as for the advising mailbox. Read-only at present is insufficient. Please grant via security group rather than individuals. Audit trail is maintained. Confirmation upon completion appreciated. No time-critical impact. Thank you.,IT Support,Low
Password about to expire without prompts. Not receiving expiry notices as usual. Please push reset or extend grace period.,IT Support,Medium
Lab PCs rejecting logins during scheduled practical. Multiple students can’t sign in to desktops. Error: “User Profile Service failed the sign-in.” Practical begins in 30 minutes. Tried alternate stations—same error. Please refresh the profile service and reimage if needed. Any immediate workaround is appreciated. Time-sensitive for the course.,IT Support,High
Calendar time-zone mismatch for cross-campus meetings. Invitees see incorrect times on recurring events. It’s caused a few missed sessions. Could someone verify DST and policy handling? Sample events available.,IT Support,Low
Renew expiring certificate for internal app. Monitoring shows the cert expires in 10 days. Please renew and deploy across environments. Include intermediate chain validation. Kindly confirm completion.,IT Support,Medium
SSO down for student services portal. Students cannot sign in; enrollment impact likely. Please check IdP status and recent changes.,IT Support,High
Headset not recognized on library desktops. USB headset lights up but no audio. Any quick policy or driver fix?,IT Support,Low
AutoCAD sluggish after lab image update. Large drawings now take minutes to pan/zoom. Disabling hardware acceleration didn’t help. GPU drivers appear current. Please suggest stable versions or configs. Deadlines are approaching; this stresses the workflow. Logs available if needed. Thanks for your help.,IT Support,Medium
Distribution list ownership change request. Assign primary ownership to the department lead. Enable moderation for external senders. No immediate urgency. We’ll update documentation.,IT Support,Low
"Proctoring tool crashes during camera check. App closes after verifying webcam. Reinstall didn’t help and I’m mid-exam window. Please provide a stable build or workaround. Urgent, please.",IT Support,High
RDP client error 0x204 to VDI gateway. Connection fails after credentials. Kindly review gateway or policy changes.,IT Support,Medium
Persistent coil whine on assigned laptop. There’s a high-pitched tone under light load. Not critical but distracting in quiet study rooms. Temperatures and performance are normal. Is a replacement warranted? BIOS and firmware updated already. Open to testing another power adapter. Thanks for reviewing.,IT Support,Low
Git repo access with LFS objects blocked. Can clone code but LFS files deny access. Please add me to the LFS-enabled group. This blocks reproducing builds. Repo name available.,IT Support,Medium
Production API throttled after WAF change. Clients receive HTTP 429 across endpoints. Suspect new rate limit policy. Please confirm limits and burst behavior. Funding portal calls are throttled. Need rollback or higher quotas ASAP. We’ll adjust client backoff accordingly. ETA requested.,IT Support,High
Projector not detected via HDMI in seminar room. Cable works on a different laptop. My device mirrors briefly then disconnects. Any recommended adapter or driver? Weekly seminars depend on this.,IT Support,Low
Teams notifications randomly silent. Missing mentions causes confusion in group work. Any stable fix would help.,IT Support,Medium
Security alert – unfamiliar login to student email. Alert shows sign-in from another region. Password changed immediately. Please review account activity and enforce sign-out. MFA policy check requested.,IT Support,High
"Keyboard intermittently repeats keys. “E” and “Backspace” repeat occasionally. Causes frequent typos. Cleaned keycaps and updated firmware. If covered, can we arrange a keyboard swap? Not urgent, but inconvenient. I can visit the service desk. Thanks.",IT Support,Low
"Adobe license shows expired despite portal assignment. Acrobat Pro won’t open PDFs. Portal says “License assigned,” app disagrees. Please resync the license. Need to edit a submission today.",IT Support,Medium
Guest access request for shared site. External collaborator needs two-week access. Enable sharing for the specific library only.,IT Support,Low
Critical spreadsheet corrupted after sync. Workbook opens with a corruption error. Auto-save shows multiple conflicting versions. Urgently need a clean version restored. Please check revision history and backups. Due today for committee review. Exact path and timestamps available. Thank you for fast recovery.,IT Support,High
Proxy authentication prompts hourly. Frequent prompts interrupt workflow. Please review SSO session lifetimes.,IT Support,Medium
Accessibility tools disabled on lab image. Narrator and high-contrast are unavailable. I rely on them for reading/navigation. Is there an accessibility profile you can enable? I can use a designated station if needed. Not urgent but important. Please advise the approved process. Thanks for supporting accessibility.,IT Support,Low
VPN split tunneling misroutes cloud storage. Cloud drive is very slow unless VPN is off. Impacts large file sync for coursework. Please review split routes and DNS. High priority due to deadlines.,IT Support,High
Web sessions sign out too quickly. Forms lose data when timeouts hit. Re-entering everything is discouraging. Could SSO stickiness be improved? Any guidance appreciated.,IT Support,Medium
Add me to cybersecurity awareness program. Please include me in monthly simulations. I’d like the training materials.,IT Support,Low
Lab VPN failing during remote proctor setup. Exam requires lab resources via VPN—currently failing. Window opens in 1 hour; urgent help please.,IT Support,High
Jenkins job failing after credential rotation. Logs show expired credentials for artifact storage. Secrets rotated last week per policy. Please update Jenkins credential binding. Builds block integration tests. We need it green for today’s release. I can share credential ID and job name. Confirm once updated.,IT Support,Medium
Mouse pointer vanishes after sleep. I toggle touchpad to bring it back. Minor but breaks flow. Any driver or power setting fix? Thanks!,IT Support,Low
Time sync drift on classroom PC. Clock lags by minutes each day. Causes meeting join issues. Please verify NTP source and policy. Thanks for checking.,IT Support,Medium
Endpoint quarantined during research compute. Security agent isolated my device mid-run. Please review and release if safe.,IT Support,High
BIOS password reset for surplus laptop. Purchased approved surplus device. Need BIOS reset to enable virtualization.,IT Support,Low
Video calls stutter when screen sharing. Audio is fine until sharing starts. Then frames drop and lag appears. Bandwidth tests look strong. This is stressful in presentations. Any GPU scheduling or Teams optimization tips? Happy to run diagnostics. Thanks.,IT Support,Medium
Static IP reservation for lab instrument. We need a reserved IP on the local VLAN. MAC and switch port available. No internet access required. Please advise the process.,IT Support,Low
TA access denied to grading dashboard. I’m assigned as TA but can’t access grading. Students await feedback today. Please add correct role or elevate access. Time-sensitive.,IT Support,High
BitLocker recovery key requested after normal reboot. Unexpected key prompt appeared. Please provide key or explain trigger.,IT Support,Medium
Legacy updater popup on login every day. A legacy prompt appears at each login. Clicking it does nothing useful. Minor but breaks focus daily. Could we remove the startup task or retire the tool? No functional need anymore. Happy to test post-removal. Thanks for the cleanup.,IT Support,Low
Shared mailbox search inconsistent. Searching by sender returns no results intermittently. Other users see the same behavior. Can indexing be rebuilt server-side? Please advise.,IT Support,Medium
Power BI data gateway offline – refresh failures. Scheduled refreshes fail with gateway unreachable. Affects dean’s dashboards. Please restart/restore gateway services. Need ETA for next successful refresh. Kindly share root cause when available. Business-critical. Thank you.,IT Support,High
Join request for student developer Git org. I’m on the course roster. Please add me to the “dev-students” team. Needed for assignment repos. Thanks!,IT Support,Low
VPN disconnects after sleep. Waking the laptop drops the tunnel. Small hassle many times a day.,IT Support,Medium
hello my Z drive is gone today. it was there yesterday. i need my files for the 10am meeting please fix this ASAP. i restarted twice and still nothing.,IT Support,High
Hey can u guys unblock emails from @partner-corp.com? My boss says they sent the contract but I don't see it anywhere. Probably in the spam thing.,IT Support,Low
"I am stuck in a loop. I do the MFA on my phone, it says success, then the website just asks me to log in again. Over and over. I tried Chrome and Safari. My roommate is logged in fine on the same wifi so idk what the deal is. help??",IT Support,Medium
"My computer keeps making a random ""ding"" sound when I'm typing and the keys start acting weird. I think I have a virus or something? It's really annoying during class.",IT Support,Low
"Urgent! The compiler says ""no license found"" for the lab software. I have a deadline tonight and I can’t build my project. Can I get a temporary code or something?",IT Support,High
"Why can't I change my background on Zoom anymore? The button is grey. I'm in a shared house and it's messy behind me, I really need this enabled for privacy.",IT Support,Medium
tablet pen wont connect to the PC in Room 302. it worked last week. i tried clicking the button on the top but nothing happens.,IT Support,Low
"My lecture slides for the faculty presentation just stoped working. It shows the splash screen then disappears. I tried ""safe mode"" like Google said but it didnt help. I'm presenting in 90 minutes. PLEASE HELP ME!!",IT Support,High
i need to see the HR sharepoint for the audit thing. my boss said i should have access for the next two weeks.,IT Support,Medium
"Getting ""insufficient privileges"" on the portal. I did the training last month! Why is it still blocking me? There are no cases yet but I need to make sure I'm ready to go.",IT Support,Low
"My thesis backup failed and says ""quota exceeded."" I literally cannot lose this data. Can you just give me more space for like a week?",IT Support,High
"Every time I switch from my speakers to my Jabra headset, the whole app freezes and I have to Task Manager it. Is there a driver update or something? This is ruining my calls.",IT Support,Medium
We have a bunch of old Teams from the seniors who graduated last year. Can we just archive them all? They're just cluttering up the list.,IT Support,Low
"The webhook for the grading tool is timing out. It started after the ""maintenance window"" last night. I'm seeing TCP resets. Can someone check the firewall rules? It's blocking grade posts.",IT Support,Medium
why is the marketplace timed out? i'm trying to install a python extension on the campus wifi and it just spins.,IT Support,Low
My laptop sounds like a jet engine just reading news articles. No heavy apps open. Is there a fix for this? It’s embarrassing in the library.,IT Support,Low
"Hey, I saw a weird account name in the ""last modified"" section of our research folder. I don't recognize the user. Can you guys check the logs? I'm worried we got hacked.",IT Support,Medium
My VDI session closes every hour on the dot. I'm literally typing and it just disconnects. Takes forever to get back in.,IT Support,Medium
Add me to lab equipment booking calendar. can u add me to the spectrometer booking calendar? i can see it but it wont let me add my name to a slot.,IT Support,Low
Password reset link expired mid-process. I tried to reset my password but the link expired before I could click it. Now I'm locked out of my email right before my tutorial starts. PLS RESET.,IT Support,Low
"SAML assertion too large for vendor integration. I'm getting a ""SAML response exceeds size"" error when trying to log into the vendor portal. Is that a me problem or a system problem?",IT Support,Medium
Decommission unused service account. We don't need the 'auto-bot-01' account anymore. It's for a project that ended. Delete it whenever.,IT Support,Low
Locked out of university Git after losing 2FA device. I lost my phone at the gym and I didn't save my backup codes for Git. I need to submit my assignment by midnight. I have my student ID to prove who I am. HELP.,IT Support,Low
"Conference room console can’t join SIP/H.323 bridge. The console in the conference room wont join the SIP bridge. It just says ""Unable to connect."" We have a big meeting on Friday, need a workaround if it's not fixable.",IT Support,Low
Night Light toggles off after reboot. My screen keeps going bright every time I reboot. I turn on Night Light but it doesn't stay on. My eyes are hurting lol.,IT Support,Low
Broken main door lock in Block C room 214. The latch on my room door snapped this morning and I cannot lock it from the outside. I have expensive lab equipment inside and a lecture to attend. Please send maintenance to replace the lock immediately as I cannot leave my belongings unsecured.,Hostels,High
Electrical sparks coming from the bathroom geyser in Block B. Every time I switch on the water heater there is a loud pop and visible blue sparks. This is a massive fire risk and someone could get electrocuted. I have turned off the mains but this needs an emergency electrician right now.,Hostels,High
Emergency sewage overflow in the ground floor corridor of Girls Hostel Block A. The drains have completely backed up and foul-smelling water is entering the rooms. It is a major health hazard and making the wing uninhabitable. Please dispatch a plumbing team before it ruins more furniture.,Hostels,High
Hostel fee portal error on the final payment day. I have been trying to pay the mess and room charges for three hours but the transaction keeps failing at the final step. Today is the deadline to avoid the heavy late fee and loss of room allotment. I need a manual override or a link that actually works before midnight.,Hostels,High
Security breach near the back entrance of Block D. I saw an unidentified individual wandering near the stairwell who did not have a student ID or a visitor pass. When approached they ran toward the laundry area. We need the security guards to check the perimeter and verify the gate logs immediately.,Hostels,High
Total power outage in Wing 4 during exam week. All the lights and sockets in our wing have been dead since 8 PM while the rest of the building is fine. We have a major end-term paper tomorrow morning and none of our laptops are charged. This is a critical situation for at least 40 students.,Hostels,High
Aggressive behavior from a non-resident in the common room. A person who doesn't live in this hostel is currently in a heated argument with students and refusing to leave. The situation is escalating and might turn into a physical fight. Security needs to intervene at Block E right away.,Hostels,High
Strong smell of gas near the mess kitchen area. While walking past the dining hall I noticed a very thick smell of LPG. This is extremely dangerous given the number of students nearby. Please check the cylinders and kitchen connections before there is an accident.,Hostels,High
"Missing fire extinguisher in the East Wing. I noticed the wall bracket near room 405 is empty. With the recent short circuit incidents in the block, this is a serious safety violation. We need a replacement unit installed before the end of the day.",Hostels,High
Ceiling plaster falling in room 102 of the old block. A large chunk of the ceiling fell onto my study table this morning. If I had been sitting there I would have been seriously injured. The rest of the ceiling looks cracked and ready to collapse. I need an emergency room shift or repair.,Hostels,High
Unauthorized entry into my room while I was at the library. I came back to find my cupboard open and some cash missing from my desk. The window latch appears to have been tampered with from the outside. This is a criminal matter and needs the warden's immediate attention.,Hostels,High
"Continuous water supply cut for over 24 hours in Block F. We have no water for drinking, cleaning, or the washrooms. The hygiene levels are becoming unbearable for everyone in the building. Please fix the pump or arrange for a tanker immediately.",Hostels,High
Severe allergic reaction reported due to pest control spray in Block B. My roommate is having trouble breathing after the maintenance team sprayed the rooms earlier today. We were not given sufficient warning to vacate. We need medical assistance and the room aired out now.,Hostels,High
"Broken window pane in ground floor room 005. Someone threw a ball and shattered the glass completely. Since the room is on the ground floor, anyone can climb in from the garden. I cannot sleep here tonight until it is boarded up or replaced.",Hostels,High
Medical emergency and elevator failure in the high-rise block. A student has fainted on the 8th floor and the only working lift has just jammed. We cannot carry them down the stairs safely. Please get the lift technician and the campus ambulance to the site.,Hostels,High
Infected water from the main cooler in Block C. Multiple students have reported stomach cramps and fever after drinking from the ground floor filter today. The water looks cloudy and needs to be tested and the tank cleaned before more people get sick.,Hostels,High
Stray dogs entering the mess hall and biting incidents. A dog entered the dining area during lunch and bit a student on the leg. This is the third time animals have entered the eating area. We need the gates secured and the student needs help with the medical report.,Hostels,High
Exposed live wires in the laundry room. The insulation on the heavy-duty dryer cable has melted away. Someone using the machine is going to get a shock. This needs to be cordoned off and fixed before the evening rush.,Hostels,High
"Hostel gate closed early preventing entry for lab students. A group of us were working on a project in the CSE lab and arrived 5 mins before curfew, but the guard has locked the gates and is refusing entry. It is raining and we are stuck outside. Please instruct him to let us in.",Hostels,High
Lost my room keys and phone inside the locked room. I am locked out of room 332 and have no way to contact anyone or access my meds which are inside. I need the master key or a locksmith to help me get back in urgently.,Hostels,High
Fumes in the basement of Block G. There is a strange chemical smell coming from the storage area under the stairs. It is making people on the first floor feel dizzy. Please check if there is a chemical leak or something burning.,Hostels,High
Fallen tree blocking the hostel exit. A branch has snapped and is leaning against the main gate of Block B. It is unstable and could fall on anyone trying to leave for their 9 AM exam. Maintenance needs to clear this path immediately.,Hostels,High
Intruder alarm sounding in the girls' wing. The emergency buzzer has been going off for 10 minutes and no warden is visible. We are unsure if we should evacuate or if there is a genuine threat. Please clarify and send security.,Hostels,High
Roommate has locked themselves in and is not responding. I have been knocking for an hour and can hear their alarm going off. I am worried about their health. We need a master key to check on them immediately.,Hostels,High
"Basement flooding near the electrical panel. Heavy rain has caused water to pool around the main circuit breakers for the hostel. If the water level rises another inch, the whole building will short circuit. Need a pump here now.",Hostels,High
Laundry machine malfunction in Block B. Three of the five washing machines have been 'out of order' for over a week now. The queues are getting ridiculous and students are fighting over the remaining two. Please get these repaired as it's been far too long.,Hostels,Medium
"Persistent ant infestation in room 442. I have complained twice to the floor supervisor about the ants coming from the wall cracks. I have kept my food sealed but they are everywhere now. This needs a proper professional pest control treatment, not just a spray.",Hostels,Medium
Poor quality of food in the mess for the last few days. The rotis are consistently burnt and the dal is extremely watery. Several of us have spoken to the mess manager but there has been no improvement in the service. We pay for a balanced diet and this is not it.,Hostels,Medium
Geyser in the second-floor bathroom has been cold since Monday. It's impossible to take a shower in this weather with cold water. I reported it to the caretaker three days ago and he said it would be fixed by Tuesday. It is now Thursday and still no hot water.,Hostels,Medium
Incessant noise from the room above mine late at night. The residents of 305 have been hosting loud gatherings every night this week. I have tried talking to them but they don't listen. It is affecting my sleep and my ability to study for my upcoming internals.,Hostels,Medium
Broken study table chair in room 112. One of the legs of my chair is completely loose and I can't sit on it to do my assignments. I've been using my bed as a desk for four days and it's giving me back pain. Please provide a replacement chair.,Hostels,Medium
Clogged washbasin in the common bathroom. The sink on the left side has been standing with dirty water for two days. It is starting to smell and is very unhygienic for everyone using the washroom. Maintenance needs to clear the blockage.,Hostels,Medium
"Tube light flickering in the balcony area. The light outside my room has started flickering constantly, which makes it very distracting while I'm trying to study. It also attracts a lot of bugs at night. Requesting a bulb replacement.",Hostels,Medium
Shortage of cleaning supplies for the floor cleaners. I noticed the staff is only using water to mop the floors because they ran out of disinfectant days ago. The bathrooms are not being cleaned properly and it's starting to show. Please restock the supplies.,Hostels,Medium
Request for a fan repair in room 201. The ceiling fan is making a very loud grinding noise on high speed. It feels like it might fall or the motor might burn out soon. It's getting too warm to sleep without it. Please have a technician look at it.,Hostels,Medium
"Dampness and mold growth on the North wall. After the rains, a large patch of black mold has appeared in the corner of my room. It is causing a musty smell and I am worried about the air quality. This needs to be cleaned and the wall waterproofed.",Hostels,Medium
"Inaccurate mess billing for the month of September. I was away for two weeks on a sanctioned leave and submitted my mess-off application, yet I have been charged the full amount. I have the approved slip from the warden. Please adjust my balance.",Hostels,Medium
Gym equipment in the hostel basement is poorly maintained. Two of the treadmills have frayed belts and the weights are rusting. It's becoming unsafe for us to use the facility. We would appreciate it if maintenance could oil the machines and check the cables.,Hostels,Medium
"Intermittent internet connectivity in Block E. The signal keeps dropping every 15 minutes, making it impossible to participate in online quizzes or research for our projects. This has been happening for three days. Please check the router on the 3rd floor.",Hostels,Medium
Water cooler filter needs replacement. The water from the dispenser in Block D has a metallic taste lately. The 'change filter' light has been red for a week. Can we get this serviced so we have clean drinking water again?,Hostels,Medium
Curtain rods falling off in the common room. The heavy drapes are sagging because the brackets have come loose from the wall. One side actually fell yesterday and almost hit someone. Please secure them properly.,Hostels,Medium
Request for replacement of a torn mattress. The mattress provided at the start of the semester has a huge rip in the center and the springs are poking through. It is very uncomfortable and I am unable to get a good night's rest. Can I get a new one from the store?,Hostels,Medium
Common room TV remote is missing or broken. We haven't been able to change the channel or adjust the volume for several days. It's a small issue but it makes the space unusable for the evening news or sports. Please provide a new remote.,Hostels,Medium
"Bicycle rack in the parking area is overflowing. There isn't enough space for everyone to park their cycles securely, and people are now locking them to the main fence, which blocks the path. We need an additional rack installed in the Block C parking zone.",Hostels,Medium
"Dustbins in the corridor are not being emptied daily. By the evening, the trash is overflowing onto the floor and attracting flies. The cleaning schedule seems to have changed and it's not working. Please ensure the bins are cleared every morning.",Hostels,Medium
"Mirror in the washroom is cracked. The large mirror above the sinks in the West Wing has a big crack across the middle. It looks like it might shatter if someone bumps into it. For safety reasons, it should be replaced soon.",Hostels,Medium
Suggestion for better lighting in the backyard path. The walkway between the hostel and the mess is very dark after 7 PM. It's easy to trip on the uneven pavement there. Adding a couple of LED lamps would make it much safer for everyone.,Hostels,Medium
Lock on the balcony door is jammed. I can't open the door to air out my room or dry my clothes. It's been stuck for three days now. Please send someone with some lubricant or tools to fix the sliding mechanism.,Hostels,Medium
"Inconsistent hot water timings in the morning. The boilers are supposed to be on from 6 AM to 9 AM, but lately, the water is lukewarm by 8 AM. This is a problem for those of us with later classes. Please ensure the heating cycle is fully completed.",Hostels,Medium
Exhaust fan in the mess is not working. The dining area gets incredibly smoky and hot during lunch hour because the ventilation system isn't clearing the air. It makes eating there very uncomfortable. Please repair the exhaust units.,Hostels,Medium
"Request for window mesh repair. The mosquito netting in my room has a hole in it, and insects are getting in at night. I've tried taping it but it doesn't hold. I would appreciate it if a new mesh could be fitted.",Hostels,Medium
Vending machine in the lobby is eating coins. I tried to buy a snack last night and it took my money without dispensing anything. This has happened to three other students today. The machine needs to be serviced or disabled until fixed.,Hostels,Medium
"Stairwell railing is loose between the 2nd and 3rd floors. The wooden handrail wobbles when you put weight on it. It's a safety hazard, especially when people are carrying heavy laundry bags up and down. Please tighten the brackets.",Hostels,Medium
Water pressure in the showers is very low. It takes forever to wash up because the water just trickles out of the showerheads on the top floor. We think there might be an air lock in the pipes. Could the plumber check the pressure valves?,Hostels,Medium
Wall clock in the study hall has stopped working. It's been stuck at 4:15 for two days. It's helpful to have a working clock during timed practice sessions. Please replace the battery or the clock.,Hostels,Medium
Hostel garden area is overgrown and attracting snakes. The grass hasn't been cut in weeks and it's becoming a bit scary to walk near the hedges at night. We've seen a few large lizards and are worried about snakes. Please send the gardener.,Hostels,Medium
Pigeon droppings in the balcony area. There is a huge mess on the 4th-floor ledge that is attracting flies and smells bad. We need a professional cleaning and maybe some netting to keep the birds away from the residential area.,Hostels,Medium
"Microwave in the pantry is sparking. When I tried to heat my food, I saw sparks inside the unit even though I didn't use any metal. I've unplugged it for safety. It needs to be checked or replaced before someone else uses it.",Hostels,Medium
Library books in the hostel reading room are disorganized. People are leaving them everywhere and the shelves are a mess. We need a proper system or a student coordinator to manage the small collection we have here.,Hostels,Medium
Drinking water tastes like chlorine. The latest batch of water in the Block G cooler has a very strong chemical smell and taste. It's almost undrinkable. Please check if the purification system was over-treated.,Hostels,Medium
Request for more hangers in the drying room. Most of the existing ones are broken or missing. It's a small thing but it would help us manage our laundry better during the busy weekend rush.,Hostels,Low
"Suggestion for a water dispenser on the 3rd floor. Currently, we have to go down to the ground floor every time we need to refill our bottles. Having one on each floor would be much more convenient for the residents.",Hostels,Low
The clock in the mess hall is five minutes fast. It causes a bit of confusion during breakfast when we are trying to catch the early campus shuttle. It would be great if it could be synced with the actual time.,Hostels,Low
Request for a shoe rack near the entrance. A lot of students leave their muddy shoes near the door and it makes the lobby look untidy. A simple wooden rack would help keep the area organized.,Hostels,Low
The common room curtains are very dusty. I think they haven't been laundered in a long time and it's triggering my dust allergy when I sit there. Perhaps they could be cleaned during the next break?,Hostels,Low
Can we get a few more magazines for the reading area? The current selection is quite old and it would be nice to have some updated tech or science journals to browse through during our free time.,Hostels,Low
Suggestion for a mirror in the elevator. It's a small addition but most modern lifts have one and it makes the space feel a bit larger and less cramped when there are many people inside.,Hostels,Low
The paint in the study room is peeling in one corner. It's not a major issue but it makes the room look a bit neglected. It would be nice to have it touched up during the next maintenance cycle.,Hostels,Low
"Can we have a dedicated spot for food delivery pickups? Currently, the delivery drivers just wait at the gate and it gets crowded. A small table near the security post would be a perfect 'delivery drop-off' point.",Hostels,Low
The soap dispensers in the washroom are often empty by Sunday evening. It would be helpful if they could be topped up more generously on Friday to last through the weekend when the cleaning staff is reduced.,Hostels,Low
The lighting in the laundry room is a bit dim. It's hard to see if the clothes are properly cleaned or if there are any stains left. Replacing the current bulb with a brighter LED would be a big help.,Hostels,Low
Request for a bulletin board in Block B. We currently stick all the notices on the walls and it leaves a lot of tape marks. A proper cork board would look much cleaner and hold the posters better.,Hostels,Low
The door to the terrace makes a loud squeaking sound. It's a bit annoying for the students living in the rooms right next to the stairs. A little bit of oil on the hinges should solve it easily.,Hostels,Low
Can we get a few more indoor plants for the lobby? It would make the entrance look more welcoming and improve the atmosphere of the hostel. A few low-maintenance palms would be great.,Hostels,Low
The channel list on the common room TV is missing a few sports networks. We were hoping to watch the upcoming tournament but those channels aren't subscribed. Is it possible to add them to our package?,Hostels,Low
Request for a suggestion box in the mess. It would be easier for students to give feedback on the daily menu if there was a place to drop small notes for the mess committee to review.,Hostels,Low
